critic_name,top_critic,publisher_name,total_reviews,agreement_rate,big_movie_agreement_rate,fresh_rate,tier
A.A. Dowd,False,Time Out Chicago,59,0.6440677966101694,,0.576271186440678,Mild Contrarian
A.C. Koch,False,Spectrum Culture,68,0.7941,1.0,0.7059,established
A.D. Murphy,True,Variety,24,0.9166666666666666,,0.9166666666666666,Bellwether
A.H. Weiler,True,New York Times,70,0.7571428571428571,,0.6428571428571429,Reliable
A.O. Scott,True,At the Movies,125,0.672,,0.496,Average
A.S. Hamrah,True,,100,0.5455,0.4286,0.49,veteran
Aakash Karkare,False,Scroll.in,48,0.6666666666666666,,0.6458333333333334,Average
Aaron Cutler,False,Slant Magazine,29,0.6896551724137931,,0.4482758620689655,Average
Aaron Dicer,False,Siftpop,28,0.7857142857142857,,0.7857142857142857,Reliable
Aaron Guttenplan,False,MovieJawn,9,0.8889,,0.8889,newcomer
Aaron Hillis,True,Time Out,29,0.7241379310344828,,0.3793103448275862,Average
Aaron Leggo,False,Sloths and Movies,23,0.5652173913043478,,0.5217391304347826,Mild Contrarian
Aaron Mesh,False,Willamette Week,22,0.7272727272727273,,0.7272727272727273,Average
Aaron Neuwirth,False,We Live Entertainment,155,0.8838709677419355,,0.8,Bellwether
Aaron Peterson,True,,100,0.7576,0.75,0.68,veteran
Aaron Pruner,False,IGN Movies,13,0.8462,0.8889,0.8462,newcomer
Aaron Yap,False,Flicks.co.nz,138,0.8115942028985508,,0.7536231884057971,Reliable
Aarón Rodríguez Serrano,False,El antepenúltimo mohicano,27,0.7083,,0.7037,newcomer
Abbey Bender,True,Village Voice,45,0.6666666666666666,,0.5111111111111111,Average
Abbie Bernstein,False,iF Magazine,100,0.63,,0.83,Mild Contrarian
Abby Garnett,True,Village Voice,37,0.7297297297297297,,0.43243243243243246,Average
Abby Monteil,False,Chicago Reader,22,0.6667,,0.5909,newcomer
Abby Olcese,True,,100,0.732,0.8182,0.76,veteran
Abe Beame,False,In Review Online,5,0.8,,0.8,newcomer
Abhimanyu Das,False,Slant Magazine,28,0.8571428571428571,,0.35714285714285715,Bellwether
Abhimanyu Mathur,False,Hindustan Times,36,0.6944,0.75,0.7222,established
Abhishek Srivastava,False,The Times of India,100,0.8333,0.9167,0.83,veteran
Abigail Camarillo,False,Chilango.com,76,0.8552631578947368,,0.7894736842105263,Bellwether
Abigail Chandler,False,SciFiNow,24,0.7083333333333334,,0.7916666666666666,Average
Abigail Stevens,False,Screen Rant,18,1.0,,0.7778,newcomer
Achara Kirk,False,GET Jaby,55,0.7818181818181819,,0.9454545454545454,Reliable
