critic_name,top_critic,publisher_name,total_reviews,agreement_rate,big_movie_agreement_rate,fresh_rate,tier
A.C. Koch,False,Spectrum Culture,68,0.7941,1.0,0.7059,established
A.S. Hamrah,True,,100,0.5455,0.4286,0.49,veteran
Aaron Guttenplan,False,MovieJawn,9,0.8889,,0.8889,newcomer
Aaron Peterson,True,,100,0.7576,0.75,0.68,veteran
Aaron Pruner,False,IGN Movies,13,0.8462,0.8889,0.8462,newcomer
Aarón Rodríguez Serrano,False,El antepenúltimo mohicano,27,0.7083,,0.7037,newcomer
Abby Monteil,False,Chicago Reader,22,0.6667,,0.5909,newcomer
Abby Olcese,True,,100,0.732,0.8182,0.76,veteran
Abe Beame,False,In Review Online,5,0.8,,0.8,newcomer
Abhimanyu Mathur,False,Hindustan Times,36,0.6944,0.75,0.7222,established
Abhishek Srivastava,False,The Times of India,100,0.8333,0.9167,0.83,veteran
Abigail Stevens,False,Screen Rant,18,1.0,,0.7778,newcomer
Adam Chitwood,False,Collider,84,0.8333,,0.8571,established
Adam Matthews,False,Film Ireland Magazine,8,0.8333,,0.875,newcomer
Adam Olinger,True,,100,0.71,0.8049,0.53,veteran
Adam Schoales,False,That Shelf,14,0.7143,0.6667,0.7143,newcomer
Adam Solomons,False,IndieWire,100,0.85,,0.84,veteran
Adam Sweeting,False,The Arts Desk,100,0.7879,0.875,0.85,veteran
Adam Woodward,False,Little White Lies,100,0.79,,0.63,veteran
Adrian Ruiz,False,But Why Tho?,28,0.5714,,0.7857,newcomer
Aglaia Berlutti,True,,100,0.9,0.9762,0.82,veteran
Agustín Pérez,True,,50,0.8,0.8056,0.76,established
Aidan Kelley,False,Collider,58,0.8182,1.0,0.7414,established
Aisha Harris,True,,100,0.84,0.8261,0.82,veteran
Al Horner,False,Empire Magazine,17,0.7647,,0.8235,newcomer
Alaka Sahani,False,The Indian Express,12,0.9,,0.4167,newcomer
Alan Jones,False,Radio Times,100,0.76,0.6667,0.91,veteran
Alan Mount,False,Starburst,24,0.7778,,0.9167,newcomer
Alan Pergament,True,,9,0.6667,,0.7778,newcomer
Alan Sepinwall,True,,38,0.8056,,0.7632,established
Alan Zilberman,True,,100,0.7419,0.8889,0.67,veteran
Alberto Carlos,False,Espinof,10,0.8889,,0.7,newcomer
Alci Rengifo,True,,100,0.86,0.9565,0.87,veteran
Alec Bojalad,False,Den of Geek,17,0.8824,,0.5294,newcomer
Alejandra Martinez,False,Austin Chronicle,96,0.8681,1.0,0.8854,established
Alejandro Lingenti,False,La Nación (Argentina),100,0.8493,,0.84,veteran
Alex Davidson,False,Sight & Sound,6,1.0,,1.0,newcomer
Alex Harrison,True,,100,0.75,0.75,0.73,veteran
Alex Hudson,True,,100,0.7447,0.8,0.76,veteran
Alex Lei,False,AV Club,15,0.9231,,0.8667,newcomer
Alex Nguyen,False,The Young Folks,42,0.7381,,0.6667,established
Alex Papaioannou,False,InSession Film,100,0.8958,1.0,0.9,veteran
Alex Saveliev,False,Film Threat,100,0.7935,1.0,0.87,veteran
Alex Southey,False,That Shelf,17,0.7143,,0.7647,newcomer
Alex Valencia,True,,31,0.9565,,0.9355,established
Alexa Dalby,True,,100,0.9157,,0.96,veteran
Alexa Margorian,False,Exclaim!,10,0.75,,0.7,newcomer
Alexander Mooney,False,Slant Magazine,36,0.5833,0.7143,0.4722,established
Alexander Walker,False,Daily Mail (UK),100,0.71,,0.67,veteran
Ali Benzekri,False,AwardsWatch,17,0.8235,,0.8824,newcomer
Ali López,True,,40,0.7436,,0.675,established
Ali Shutler,False,NME (New Musical Express),6,0.8,,1.0,newcomer
Alice Saville,False,Time Out,6,0.8333,,0.8333,newcomer
Alice Shih,False,Original Cin,5,1.0,,1.0,newcomer
Alicia Gilstorf,True,,64,0.7302,,0.8281,established
Alicia P. Ferreirós,False,Sensacine,25,0.68,0.7143,0.96,newcomer
Alireza Hatamvand,False,FILMINK (Australia),14,0.7,,0.7143,newcomer
Alisha Mughal,True,,57,0.8889,0.6667,0.7895,established
Alison Herman,True,,48,0.8936,,0.8542,established
Alison Lanier,False,Pajiba,34,0.9032,,0.8529,established
Alison Willmore,True,,100,0.75,0.6667,0.59,veteran
Alissa Simon,True,,100,0.8873,,0.85,veteran
Alistair Harkness,False,Film4,100,0.7959,0.7667,0.71,veteran
Alistair Lawrence,False,Common Sense Media,100,0.7216,,0.55,veteran
Alistair Ryder,True,,100,0.7097,0.8077,0.62,veteran
Allan Hunter,True,,100,0.8824,,0.96,veteran
Allen Almachar,True,,100,0.78,0.7742,0.68,veteran
Allie Gregory,False,Exclaim!,5,0.6,,0.6,newcomer
Allie Lembo,False,MovieJawn,6,0.8333,,0.8333,newcomer
Allison Nichols,True,,11,0.3636,,0.6364,newcomer
Allison Rose,True,,100,0.73,0.7576,0.91,veteran
Allyson Johnson,True,,100,0.8763,0.4,0.79,veteran
Alton Williams,False,Battle Royale With Cheese,39,0.8235,,0.8205,established
Alyshia Kelly,False,The Young Folks,22,0.7727,1.0,0.6364,newcomer
Amanda Luberto,False,Arizona Republic,18,0.9444,0.8,0.9444,newcomer
Amanda Sink,True,,77,0.84,,0.8701,established
Amber Dowling,False,TV Guide,12,0.8,,1.0,newcomer
