critic_name,top_critic,publisher_name,total_reviews,agreement_rate,fresh_rate,tier
Bobby Finger,False,The Muse/Jezebel,21,1.0,0.8571428571428571,Bellwether
Roth Cornet,False,Screen Junkies,21,1.0,0.8095238095238095,Bellwether
Steven Mazey,False,Ottawa Citizen,21,1.0,0.14285714285714285,Bellwether
Doug Cummings,False,Filmjourney,33,1.0,1.0,Bellwether
Keith H. Brown,False,Edinburgh U Film Society,47,1.0,1.0,Bellwether
B. Ruby Rich,False,The Nation,21,1.0,0.9523809523809523,Bellwether
Sergio Huidobro,False,Cine Premiere,21,1.0,0.8095238095238095,Bellwether
Mina Takla,False,AwardsWatch,22,1.0,0.9090909090909091,Bellwether
Carrie R. Wheadon,False,Common Sense Media,20,1.0,0.7,Bellwether
Jasmine Lim,False,The New Paper (Singapore),22,1.0,0.6818181818181818,Bellwether
Charles Solomon,False,Animation Scoop,21,1.0,0.5714285714285714,Bellwether
Katie Hogan,False,She Likes Movies,26,1.0,0.7307692307692307,Bellwether
Jason Gorber,False,POV Magazine,21,1.0,1.0,Bellwether
Natalia Winkelman,False,The Daily Beast,21,1.0,1.0,Bellwether
Fico Cangiano,False,CineXpress Podcast,32,1.0,1.0,Bellwether
Jordy Sirkin,False,Jordy Reviews It,22,1.0,0.8181818181818182,Bellwether
Dominic Griffin,False,Deadshirt.net,22,1.0,1.0,Bellwether
Antonio Sison,False,National Catholic Reporter,20,1.0,1.0,Bellwether
Jason Wood,True,Little White Lies,23,1.0,1.0,Bellwether
Tim Dirks,False,AMC Filmsite,337,0.9910979228486647,1.0,Bellwether
Shane Slater,False,AwardsCircuit.com,58,0.9827586206896551,1.0,Bellwether
Jean Lowerison,False,ReviewExpress.com,56,0.9821428571428571,0.9821428571428571,Bellwether
Kate Cameron,True,New York Daily News,44,0.9772727272727273,1.0,Bellwether
Mark Bourne,True,Film.com,44,0.9772727272727273,0.8863636363636364,Bellwether
Frank Ochieng,False,Flick Feast,43,0.9767441860465116,0.5348837209302325,Bellwether
Alexandra Heller-Nicholas,False,AWFJ Women on Film,38,0.9736842105263158,0.9736842105263158,Bellwether
Dan Jardine,False,All Movie Guide,38,0.9736842105263158,0.9736842105263158,Bellwether
John Powers,False,NPR's Fresh Air,72,0.9722222222222222,0.9861111111111112,Bellwether
Jonathan Romney,False,Sight and Sound,35,0.9714285714285714,0.9714285714285714,Bellwether
Emma Dibdin,False,The Arts Desk,30,0.9666666666666667,0.9666666666666667,Bellwether
Michelle Jaworski,False,The Daily Dot,30,0.9666666666666667,0.9333333333333333,Bellwether
Boxoffice Staff,False,Boxoffice Magazine,29,0.9655172413793104,1.0,Bellwether
Phil Guie,False,Film-Forward.com,58,0.9655172413793104,0.9482758620689655,Bellwether
Joey Keogh,False,Vague Visages,29,0.9655172413793104,0.9655172413793104,Bellwether
THR Staff,True,Hollywood Reporter,28,0.9642857142857143,1.0,Bellwether
John Kinloch,False,California Eagle,27,0.9629629629629629,0.8518518518518519,Bellwether
